mol,uniprot,swiss,fgp,plato,pharmapper,n,consensus
1-Androstenediol,P18405,0.320218721084,,,,1,0.320218721084
1-Androstenediol,P31213,0.320218721084,,0.34793187347931875,,2,0.3368466125211913
1-Androstenediol,P10275,0.320218721084,0.898,0.7883211678832117,0.7881232919851772,4,0.7330585883795401
1-Androstenediol,P11511,0.320218721084,0.13,0.708029197080292,0.649294147303848,4,0.4193466254364648
1-Androstenediol,P08235,0.320218721084,,0.34306569343065696,0.771235379273378,3,0.43484424482615974
1-Androstenediol,P04150,0.320218721084,,0.3536090835360909,,2,0.3402529385552545
1-Androstenediol,P06401,0.320218721084,,0.4274128142741282,0.6192412580628253,3,0.43869811878224957
1-Androstenediol,P08185,0.320218721084,,0.6982968369829683,,2,0.547065590623381
1-Androstenediol,Q99720,0.320218721084,,,,1,0.320218721084
1-Androstenediol,P04278,0.320218721084,,0.7834549878345499,,2,0.59816048113433
1-Androstenediol,O75469,0.320218721084,,0.36415247364152475,,2,0.3465789726185149
1-Androstenediol,P05093,0.320218721084,,0.5393349553933495,,2,0.45168846166960974
1-Androstenediol,P37058,0.320218721084,,,,1,0.320218721084
1-Androstenediol,P07148,0.320218721084,,,,1,0.320218721084
1-Androstenediol,Q14994,0.180252493891,,0.44525547445255476,0.5741393605600411,3,0.3934585310738039
1-Androstenediol,Q9UHC9,0.106099949133,,0.49391727493917276,,2,0.33879034461670365
1-Androstenediol,P51681,0.106099949133,,,,1,0.106099949133
1-Androstenediol,Q01959,0.106099949133,0.42800000000000005,,,2,0.31094543604836367
1-Androstenediol,P0DMS8,0.106099949133,,,,1,0.106099949133
1-Androstenediol,P27361,0.106099949133,0.132,,,2,0.12258179968472725
1-Androstenediol,P30304,0.106099949133,,,,1,0.106099949133
1-Androstenediol,P07339,0.0978745343258,0.33999999999999997,,,2,0.2519543761184727
1-Androstenediol,O14684,0.0978745343258,,,,1,0.09787453432580001
1-Androstenediol,O75762,0.0978745343258,,,,1,0.09787453432580001
1-Androstenediol,P03372,0.0978745343258,0.642,0.6707218167072181,,3,0.5241075904439123
1-Androstenediol,Q92731,0.0978745343258,0.882,0.667477696674777,0.6442452757528141,4,0.6251550072305152
1-Androstenediol,P80365,0.0978745343258,,,,1,0.09787453432580001
1-Androstenediol,P28845,0.0978745343258,,0.4444444444444445,,2,0.30581648039698667
1-Androstenediol,P35228,0.0978745343258,,0.29764801297648014,,2,0.21773862151620807
1-Androstenediol,P24723,0.0978745343258,,,,1,0.09787453432580001
1-Androstenediol,Q06124,0.0978745343258,0.806,,,2,0.5484998306639273
1-Androstenediol,O60218,0.0978745343258,,0.32684509326845096,,2,0.23525686969139056
1-Androstenediol,P23219,0.0978745343258,0.344,,,2,0.25449983066392723
1-Androstenediol,P06276,0.0978745343258,0.562,0.5644768856447688,,3,0.4536682030101067
1-Androstenediol,P09917,0.0978745343258,0.382,,,2,0.2786816488457454
1-Androstenediol,P18031,0.0978745343258,,0.5020275750202757,,2,0.34036635874248544
1-Androstenediol,P17706,0.0978745343258,,,,1,0.09787453432580001
