,cons_CYP,cons_SRD5A,cons_UGT2B7,cons_CYP19A1,cons_HSD17B,cons_AR,cons_SHBG,Det,EI,Det_swiss,diff,Class
1-Androstenediol,0.11840914322806073,0.3368466125211913,0.1970802919708029,0.4193466254364648,0.10673957369466668,0.7330585883795401,0.59816048113433,0.2436482791424695,0.629846763617362,0.17256231080637777,0.07108596833609174,II
1-Androstenedione,0.16079656916264243,0.46618004866180046,0.0,0.6539817745319084,0.14209245742092458,0.5715997037066675,0.42627737226277373,0.29235966881107944,0.5444794184385475,0.0,0.29235966881107944,II
1-Androsterone,0.2107879974870016,0.34987127648336247,0.0,0.7574904281905767,0.1288650230682575,0.6656867058282795,0.6640632561857538,0.2841684488521714,0.6835604154079813,0.22395470851990998,0.06021374033226143,II
1-Epiandrosterone,0.11719946056429402,0.09787453432580001,0.32044330275206523,0.7847221523779162,0.33328285722053336,0.9008445320126236,1.0,0.2737874945679673,0.907366696481895,0.2499640799335622,0.0238234146344051,II
1-Testosterone,0.22968765243851033,0.3777077900005742,0.0,0.6333689584960553,0.11306185038236527,0.9021778435738723,0.8671532846715329,0.2770457789224447,0.8379086988876071,0.27322175529002224,0.0038240236324224575,II
11β-Methyl-19-nortestosterone,0.2535584999561656,0.5369031229316282,0.0,0.5749075039054227,0.14501643270191109,0.8444762529251286,0.9673841191696321,0.32519833072453436,0.8274348629945385,0.2831314189968889,0.042066911727645484,II
17α-Methylepithiostanol,0.08897900037359262,0.0,0.11150186548,0.29469429896223276,0.04714590972012328,0.5428897292542063,0.22562264400221896,0.09346385900574539,0.3980705176202154,0.04893692984955556,0.044526929156189825,III
19-Norandrostenediol,0.23183047083453598,0.0,0.0,0.5411334182000624,0.13800293957281154,0.8414966072707625,0.9021897810218978,0.1529279243959245,0.7996319215819632,0.07921613585012778,0.07371178854579673,II
19-Norandrostenedione,0.18657787220796956,0.8613571027476788,0.0,0.8662729122884717,0.26736180110589425,0.762574079777986,0.8093846733906754,0.46172871583015623,0.7973570243638899,0.46220076510846664,-0.00047204927831040466,I
4-Androstenediol,0.29307839330451557,0.3788091811269137,0.09787453432580001,0.446190242963194,0.1212176927489607,0.90085073570011,0.9343065693430657,0.28553756524873813,0.8199553872456135,0.08372976011860556,0.20180780513013258,II
