id,compuesto,n_metabolitos,n_fase1,n_fase2,Det,EI,Class
1,1-Androstenediol,14,12,2,0.2436482791424695,0.629846763617362,II
2,1-Androstenedione,11,11,0,0.2923596688110794,0.5444794184385475,II
3,1-Androsterone,12,11,1,0.2841684488521714,0.6835604154079813,II
4,1-Epiandrosterone,12,11,1,0.2737874945679673,0.907366696481895,II
5,1-Testosterone,12,12,0,0.2770457789224447,0.8379086988876071,II
6,4-Androstenediol,14,12,2,0.2855375652487381,0.8199553872456135,II
7,4-Hydroxytestosterone,10,10,0,0.2618912893397425,0.6860201650892505,II
8,5-Androstenedione,10,10,0,0.3347629743587932,0.6053300134191101,II
9,7α-Hydroxy-DHEA,8,6,2,0.2606045416655002,0.6198395678272313,II
10,7β-Hydroxy-DHEA,8,6,2,0.2594810056562913,0.6166792724892312,II
11,7-Keto-DHEA,13,12,1,0.2941232905092661,0.595056455811789,II
12,11β-Methyl-19-nortestosterone,11,11,0,0.3251983307245343,0.8274348629945385,II
13,17α-Methylepithiostanol (Epistane),11,11,0,0.0934638590057453,0.3980705176202154,III
14,19-Norandrostenediol,12,10,2,0.1529279243959245,0.7996319215819632,II
15,19-Norandrostenedione,9,9,0,0.4617287158301562,0.7973570243638899,I
16,Androst-4-ene-3,0,0,0,0.3695985835458076,0.6759119169848257,I
17,Androstanolone (DHT),17,17,0,0.2520985363467329,0.8970068722167678,II
18,Androstenediol,13,11,2,0.1678516661019644,0.8210314039233683,II
19,Androstenedione,14,14,0,0.5043017920165601,0.9123592967840464,I
20,Bolasterone,13,13,0,0.3713233454753226,0.9205361584475408,I
21,Boldenone,13,13,0,0.2360680926414906,0.7430366340711676,II
22,Boldione,12,12,0,0.320098904078326,0.6120378328292646,II
23,Calusterone,13,13,0,0.3552570347757237,0.8755508383409135,I
24,Clostebol,10,10,0,0.2047180244133919,0.5787797572182688,II
25,Danazol,7,7,0,0.1302340008261184,0.8283205696059766,III
26,Dehydrochlormethyltestosterone (Oral Turinabol),11,11,0,0.1345388445573219,0.525828771971195,III
27,Desoxymethyltestosterone,10,10,0,0.154664344537851,0.6659458072006491,II
28,Dimethandrolone,13,13,0,0.1702858171578414,0.5140175156282889,II
29,Drostanolone,12,12,0,0.1840816152850977,0.7549039187069652,II
30,Epiandrosterone,12,11,1,0.2737874945679673,0.907366696481895,II
31,Epi-dihydrotestosterone,17,17,0,0.2424858070910918,0.8706770169187878,II
32,Epitestosterone,13,13,0,0.3394145674204976,0.8513828419747382,II
33,Ethylestrenol,10,10,0,0.1537970530023654,0.6269546729255082,II
34,Fluoxymesterone,12,12,0,0.1239294160149896,0.7408859323147763,III
35,Formebolone,15,15,0,0.0899832458171238,0.4581061230666924,III
36,Furazabol,8,8,0,0.0753894262198102,0.3619042114648652,III
37,Gestrinone,10,10,0,0.0637401781030257,0.7095781079637846,III
38,Mestanolone,11,11,0,0.2104482443870334,0.858197164330374,II
39,Mesterolone,13,13,0,0.1932471895007432,0.8226637288212801,II
40,Metandienone (Dianabol),13,13,0,,,
41,Metenolone,13,13,0,0.3181161311636052,0.8023009993985305,II
42,Methandriol,12,11,1,0.1796437406895319,0.8106094596718434,II
43,Methasterone (Superdrol),12,12,0,0.2186608295217074,0.7905411227144339,II
44,Methyl-1-testosterone,12,12,0,0.2600633302873705,0.7930813691979663,II
45,Methylclostebol,9,9,0,0.2255616156147063,0.6366058498128998,II
46,Methyldienolone,10,10,0,0.2454345256287443,0.7997955961835155,II
47,Methylnortestosterone,10,10,0,0.3690544728943205,0.8811446908542517,I
48,Methyltestosterone,11,11,0,0.3506116881487274,0.8390765643335706,I
49,Metribolone (Methyltrienolone),9,9,0,0.2020915586217525,0.7902928219565355,II
50,Mibolerone,12,12,0,0.2897871416938685,0.8353654591813194,II
51,Nandrolone (19-Nortestosterone),10,10,0,0.3359348144393682,0.8454353445073134,II
52,Norboletone,26,26,0,0.2584144176822782,0.7515075628916781,II
53,Norclostebol,8,8,0,0.1830922632000322,0.6068916954473194,II
54,Norethandrolone,12,12,0,0.3218960829633829,0.7964992086180669,II
55,Oxabolone,8,8,0,0.2205289009298725,0.6655726601549998,II
56,Oxandrolone,8,8,0,0.1609038792968216,0.5110947357597413,II
57,Oxymesterone,9,9,0,0.2738492828778968,0.7567256601776672,II
58,Oxymetholone,10,10,0,0.1046653166378681,0.572608575146074,III
59,Prasterone (DHEA),17,16,1,0.291750917207389,0.7821991486962636,II
60,Prostanozol,9,9,0,0.1299454915080441,0.3307240093888707,III
61,Quinbolone,13,13,0,0.1775084549355023,0.3854494887036742,II
62,Stanozolol,9,9,0,0.1796469270226145,0.563030689628203,II
63,Stenbolone,12,12,0,0.2899236296875019,0.8387953563091219,II
64,Testosterone,5,4,1,0.3545272164177596,0.8719458433947654,I
65,Tetrahydrogestrinone (THG),24,24,0,0.1906315867502996,0.704727132809344,II
66,Tibolone,10,10,0,0.0993920137787413,0.5859509071303102,III
67,Trenbolone,9,9,0,0.2347670662206464,0.7364994079818562,II
68,Trestolone (MENT),12,12,0,0.3160907642359805,0.8177532532196239,II
