id,compuesto,estructura_validada,ADMETlab3_DILI,admetSAR3_DILI_prob,admetSAR3_DILI,pkCSM_hepatotox,ADMETlab3_hERG10uM,admetSAR3_hERG10uM_prob,admetSAR3_hERG10uM,pkCSM_hERG_I,pkCSM_hERG_II,ADMETlab3_BSEP,admetSAR3_BSEP_prob,admetSAR3_BSEP,ADMETlab3_Ames,admetSAR3_Ames_prob,admetSAR3_Ames,pkCSM_Ames,ADMETlab3_carcino,admetSAR3_carcino_prob,admetSAR3_carcino,DILI_consenso_n,Ames_consenso_n
1,1-Androstenediol,True,0,0.566,1,0,0,0.77,1,0,0,1,0.933,1,0,0.042,0,0,1,0.224,0,1,0
2,1-Androstenedione,True,0,0.569,1,0,0,0.614,1,0,0,1,0.854,1,0,0.026,0,0,1,0.318,0,1,0
3,1-Androsterone,True,0,0.596,1,0,0,0.626,1,0,0,1,0.909,1,0,0.038,0,0,1,0.314,0,1,0
4,1-Epiandrosterone,True,0,0.596,1,0,0,0.626,1,0,0,1,0.909,1,0,0.038,0,0,1,0.314,0,1,0
5,1-Testosterone,True,0,0.547,1,0,0,0.672,1,0,0,1,0.885,1,0,0.026,0,0,1,0.276,0,1,0
6,4-Androstenediol,True,0,0.552,1,0,1,0.712,1,0,0,1,0.947,1,0,0.06,0,0,1,0.318,0,1,0
7,4-Hydroxytestosterone,True,0,0.712,1,0,0,0.267,0,0,0,1,0.831,1,0,0.089,0,0,1,0.484,0,1,0
8,5-Androstenedione,True,0,0.659,1,0,0,0.493,0,0,0,1,0.835,1,0,0.043,0,0,1,0.396,0,1,0
9,7α-Hydroxy-DHEA,True,0,0.615,1,0,0,0.259,0,0,0,1,0.684,1,1,0.082,0,0,1,0.524,1,1,1
10,7β-Hydroxy-DHEA,True,0,0.615,1,0,0,0.259,0,0,0,1,0.684,1,1,0.082,0,0,1,0.524,1,1,1
11,7-Keto-DHEA,True,0,0.681,1,0,0,0.398,0,0,0,1,0.776,1,1,0.059,0,0,1,0.446,0,1,1
12,11β-Methyl-19-nortestosterone,True,0,0.579,1,0,0,0.632,1,0,0,1,0.883,1,0,0.029,0,0,1,0.288,0,1,0
13,17α-Methylepithiostanol (Epistane),True,1,0.523,1,0,1,0.885,1,0,1,1,0.932,1,0,0.09,0,0,1,0.299,0,2,0
14,19-Norandrostenediol,True,0,0.629,1,0,0,0.674,1,0,0,1,0.877,1,0,0.06,0,0,1,0.29,0,1,0
15,19-Norandrostenedione,True,0,0.583,1,0,0,0.591,1,0,0,1,0.835,1,0,0.031,0,0,1,0.355,0,1,0
16,"Androst-4-ene-3,11,17-trione (Adrenosterone)",True,0,0.683,1,0,0,0.414,0,0,0,1,0.702,1,1,0.063,0,0,1,0.502,1,1,1
17,Androstanolone (DHT),True,0,0.585,1,0,0,0.622,1,0,0,1,0.892,1,0,0.03,0,0,1,0.254,0,1,0
18,Androstenediol,True,0,0.566,1,0,0,0.708,1,0,0,1,0.934,1,0,0.055,0,0,1,0.298,0,1,0
19,Androstenedione,True,0,0.591,1,0,0,0.569,1,0,0,1,0.877,1,0,0.031,0,0,1,0.347,0,1,0
20,Bolasterone,True,0,0.613,1,0,0,0.675,1,0,0,1,0.932,1,0,0.041,0,0,1,0.283,0,1,0
21,Boldenone,True,1,0.513,1,0,1,0.688,1,0,0,1,0.882,1,0,0.028,0,0,1,0.321,0,2,0
22,Boldione,True,0,0.537,1,0,1,0.649,1,0,0,1,0.851,1,0,0.031,0,0,1,0.362,0,1,0
23,Calusterone,True,0,0.613,1,0,0,0.675,1,0,0,1,0.932,1,0,0.041,0,0,1,0.283,0,1,0
24,Clostebol,True,1,0.704,1,0,1,0.424,0,0,0,1,0.954,1,1,0.051,0,0,1,0.319,0,2,1
25,Danazol,False,0,0.755,1,1,1,0.749,1,0,0,1,0.971,1,0,0.171,0,0,1,0.365,0,2,0
26,Dehydrochlormethyltestosterone (Oral Turinabol),True,1,0.723,1,0,0,0.547,1,0,0,1,0.961,1,1,0.13,0,0,1,0.427,0,2,1
27,Desoxymethyltestosterone,True,1,0.553,1,0,0,0.835,1,0,0,1,0.907,1,0,0.055,0,0,1,0.221,0,2,0
28,Dimethandrolone,True,0,0.595,1,0,0,0.661,1,0,0,1,0.93,1,1,0.023,0,0,1,0.188,0,1,1
29,Drostanolone,True,0,0.595,1,0,0,0.632,1,0,0,1,0.925,1,0,0.026,0,0,1,0.182,0,1,0
30,Epiandrosterone,True,0,0.62,1,0,0,0.592,1,0,0,1,0.917,1,1,0.037,0,0,1,0.272,0,1,1
31,Epi-dihydrotestosterone,True,0,0.585,1,0,0,0.622,1,0,0,1,0.892,1,0,0.03,0,0,1,0.254,0,1,0
32,Epitestosterone,False,1,0.583,1,0,0,0.588,1,0,0,1,0.896,1,0,0.029,0,0,1,0.308,0,2,0
33,Ethylestrenol,False,1,0.645,1,0,1,0.938,1,0,0,1,0.96,1,0,0.112,0,0,1,0.309,0,2,0
34,Fluoxymesterone,True,0,0.598,1,0,0,0.63,1,0,0,1,0.817,1,0,0.119,0,0,1,0.422,0,1,0
35,Formebolone,True,0,0.79,1,0,0,0.422,0,0,0,1,0.736,1,1,0.47,0,0,1,0.732,1,1,1
36,Furazabol,True,1,0.474,0,1,1,0.975,1,0,1,1,0.972,1,0,0.089,0,0,1,0.242,0,2,0
37,Gestrinone,False,0,0.668,1,0,1,0.555,1,0,0,1,0.948,1,0,0.148,0,0,1,0.477,0,1,0
38,Mestanolone,True,0,0.616,1,0,0,0.682,1,0,0,1,0.919,1,0,0.042,0,0,1,0.257,0,1,0
39,Mesterolone,True,0,0.577,1,0,0,0.654,1,0,0,1,0.923,1,1,0.027,0,0,1,0.194,0,1,1
40,Metandienone (Dianabol),True,1,0.532,1,0,0,0.753,1,0,0,1,0.908,1,0,0.052,0,0,1,0.359,0,2,0
41,Metenolone,True,0,0.542,1,0,0,0.731,1,0,0,1,0.923,1,1,0.03,0,0,1,0.262,0,1,1
42,Methandriol,True,0,0.501,1,0,0,0.861,1,0,0,1,0.948,1,1,0.098,0,0,1,0.268,0,1,1
43,Methasterone (Superdrol),True,0,0.628,1,0,0,0.728,1,0,0,1,0.932,1,0,0.04,0,0,1,0.197,0,1,0
44,Methyl-1-testosterone,True,0,0.579,1,0,0,0.702,1,0,0,1,0.909,1,0,0.039,0,0,1,0.298,0,1,0
45,Methylclostebol,True,1,0.745,1,0,0,0.588,1,0,0,1,0.965,1,1,0.084,0,0,1,0.317,0,2,1
46,Methyldienolone,True,0,0.563,1,0,0,0.562,1,0,0,1,0.856,1,0,0.137,0,0,1,0.391,0,1,0
47,Methylnortestosterone,True,0,0.594,1,0,0,0.711,1,0,0,1,0.884,1,0,0.051,0,0,1,0.313,0,1,0
48,Methyltestosterone,True,0,0.607,1,0,0,0.694,1,0,0,1,0.92,1,0,0.048,0,0,1,0.315,0,1,0
49,Metribolone (Methyltrienolone),True,0,0.609,1,0,0,0.453,0,0,0,1,0.85,1,0,0.155,0,0,1,0.494,0,1,0
50,Mibolerone,True,0,0.639,1,0,0,0.68,1,0,0,1,0.93,1,0,0.047,0,0,1,0.293,0,1,0
51,Nandrolone (19-Nortestosterone),True,0,0.573,1,0,0,0.606,1,0,0,1,0.852,1,0,0.034,0,0,1,0.329,0,1,0
52,Norboletone,True,0,0.631,1,0,1,0.8,1,0,0,1,0.942,1,0,0.088,0,0,1,0.343,0,1,0
53,Norclostebol,True,1,0.702,1,0,0,0.512,1,0,0,1,0.947,1,1,0.052,0,0,1,0.307,0,2,1
54,Norethandrolone,False,1,0.587,1,0,1,0.802,1,0,0,1,0.929,1,0,0.066,0,0,1,0.322,0,2,0
55,Oxabolone,True,0,0.677,1,0,0,0.381,0,0,0,1,0.801,1,0,0.099,0,0,1,0.526,1,1,0
56,Oxandrolone,True,0,0.631,1,0,0,0.646,1,0,0,1,0.84,1,1,0.104,0,0,1,0.444,0,1,1
57,Oxymesterone,True,0,0.691,1,0,1,0.408,0,0,0,1,0.872,1,0,0.136,0,0,1,0.546,1,1,0
58,Oxymetholone,True,1,0.729,1,1,0,0.51,1,0,0,1,0.922,1,0,0.085,0,0,1,0.422,0,3,0
59,Prasterone (DHEA),True,0,0.616,1,0,0,0.535,1,0,0,1,0.911,1,1,0.048,0,0,1,0.353,0,1,1
60,Prostanozol,True,1,0.515,1,1,1,0.809,1,0,1,1,0.953,1,0,0.376,0,0,1,0.481,0,3,0
61,Quinbolone,True,0,0.551,1,0,1,0.944,1,0,1,1,0.964,1,0,0.049,0,0,1,0.299,0,1,0
62,Stanozolol,True,0,0.54,1,1,0,0.697,1,0,1,1,0.948,1,0,0.144,0,0,1,0.25,0,2,0
63,Stenbolone,True,0,0.577,1,0,0,0.713,1,0,1,1,0.928,1,0,0.037,0,0,1,0.257,0,1,0
64,Testosterone,False,1,0.576,1,0,0,0.595,1,0,0,1,0.892,1,0,0.03,0,0,1,0.311,0,2,0
65,Tetrahydrogestrinone (THG),True,0,0.637,1,0,1,0.719,1,0,0,1,0.96,1,0,0.132,0,0,1,0.415,0,1,0
66,Tibolone,False,0,0.794,1,0,1,0.506,1,0,1,1,0.951,1,0,0.127,0,0,1,0.454,0,1,0
67,Trenbolone,True,0,0.615,1,0,0,0.38,0,0,0,1,0.82,1,0,0.116,0,0,1,0.504,1,1,0
