Uniprot,Common
P18405,SRD5A1
P31213,SRD5A2
P10275,AR
P11511,CYP19A1
P08235,NR3C2
P04150,NR3C1
P06401,PGR
P08185,SERPINA6
Q99720,SIGMAR1
P04278,SHBG
O75469,NR1I2
P05093,CYP17A1
P37058,HSD17B3
P07148,FABP1
Q14994,NR1I3
Q9UHC9,NPC1L1
P51681,CCR5
Q01959,SLC6A3
P0DMS8,ADORA3
P27361,MAPK3
P30304,CDC25A
P07339,CTSD
O14684,PTGES
O75762,TRPA1
P03372,ESR1
Q92731,ESR2
P80365,HSD11B2
P28845,HSD11B1
P35228,NOS2
P24723,PRKCH
Q06124,PTPN11
O60218,AKR1B10
P23219,PTGS1
P06276,BCHE
P09917,ALOX5
P18031,PTPN1
P17706,PTPN2
P56817,BACE1
O00519,FAAH
Q8NER1,TRPV1
P35398,RORA
P49354 P49356,FNTA FNTB
P31645,SLC6A4
P37268,FDFT1
P23141,CES1
O00748,CES2
P29350,PTPN6
P14902,IDO1
Q13133,NR1H3
P04035,HMGCR
P11413,G6PD
Q16850,CYP51A1
P06746,POLB
P48147,PREP
P01375,TNF
P15090,FABP4
P21554,CNR1
P37231,PPARG
Q07869,PPARA
O14746,TERT
P05413,FABP3
Q01469,FABP5
Q03181,PPARD
P30305,CDC25B
P51449,RORC
Q08499,PDE4D
P10586,PTPRF
P04054,PLA2G1B
P24666,ACP1
P05231,IL6
P78536,ADAM17
P16662,UGT2B7
P15104,GLUL
Q8TDU6,GPBAR1
O00767,SCD
P37059,HSD17B2
P11388,TOP2A
P53350,PLK1
P11387,TOP1
P54707,ATP12A
P33261,CYP2C19
P42330,AKR1C3
P52895,AKR1C2
Q04828,AKR1C1
P10070,GLI2
P08151,GLI1
P60033,CD81
P35354,PTGS2
P43116,PTGER2
O14842,FFAR1
P34995,PTGER1
P43119,PTGIR
P34949,MPI
P08172,CHRM2
P22303,ACHE
P23975,SLC6A2
P09884,POLA1
P47712,PLA2G4A
Q9UJM8,HAO1
P20701,ITGAL
P49354 P49356,FNTA FNTB
Q15722,LTB4R
P35408,PTGER4
P43088,PTGFR
P43115,PTGER3
Q4U2R8,SLC22A6
Q13258,PTGDR
Q12772,SREBF2
Q9UBE0 Q9UBT2,SAE1 UBA2
P06737,PYGL
P21731,TBXA2R
